,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
80,A Zampa (AUS),2023-2023,9,6,3,48,29,16.00,60,80.00,-,-,1,5,0
81,Mehidy Hasan Miraz (BAN),2023-2023,9,9,0,201,57,22.33,253,79.44,-,1,-,21,2
82,Mushfiqur Rahim (BAN),2023-2023,9,9,1,202,66,25.25,255,79.21,-,2,-,14,4
83,LV van Beek (NED),2023-2023,8,8,2,140,59,23.33,179,78.21,-,1,1,9,3
84,Towhid Hridoy (BAN),2023-2023,7,6,1,164,74,32.80,210,78.09,-,1,-,7,5
85,M Labuschagne (AUS),2023-2023,9,8,0,286,71,35.75,371,77.08,-,2,-,25,2
86,Najmul Hossain Shanto (BAN),2023-2023,9,9,1,222,90,27.75,289,76.81,-,2,2,25,1
87,KA Maharaj (SA),2023-2023,9,5,3,55,40,27.50,72,76.38,-,-,-,7,1
88,Rahmat Shah (AFG),2023-2023,9,9,1,320,77*,40.00,419,76.37,-,3,-,28,2
89,Ibrahim Zadran (AFG),2023-2023,9,9,1,376,129*,47.00,493,76.26,1,1,-,39,5
90,DM de Silva (SL),2023-2023,8,7,0,140,34,20.00,184,76.08,-,-,-,13,4
91,C Green (AUS),2023-2023,3,3,0,63,47,21.00,83,75.90,-,-,-,6,0
92,T Bavuma (SA),2023-2023,7,7,0,145,35,20.71,193,75.12,-,-,-,18,3
93,MM Ali (ENG),2023-2023,6,6,0,95,42,15.83,127,74.80,-,-,-,8,1
94,W Barresi (NED),2023-2023,4,4,0,83,41,20.75,112,74.10,-,-,-,11,1
95,Hashmatullah Shahidi (AFG),2023-2023,9,9,3,310,80,51.66,424,73.11,-,3,-,25,2
96,PJ Cummins (AUS),2023-2023,9,7,3,114,37,28.50,157,72.61,-,-,-,11,5
97,Mohammad Nabi (AFG),2023-2023,9,6,0,55,19,9.16,76,72.36,-,-,-,3,1
98,Hasan Ali (PAK),2023-2023,6,3,0,20,12,6.66,28,71.42,-,-,1,4,0
99,BFW de Leede (NED),2023-2023,9,9,0,139,67,15.44,199,69.84,-,1,-,15,2
